t_s,true_x_m,true_v_mps,imu_acc_mps2,gnss_pos_meas_m,spoof_active
0,0.0,0.0,0.07770387994626743,-3.8494434078109796,0
1,0.0,0.0,0.04332057410268442,-4.501261206661526,0
2,0.0,0.0,0.04910457147448914,-0.5850131329632575,0
3,0.0,0.0,-0.09127229030351176,-1.7787776109611984,0
4,0.0,0.0,0.12521371018974076,3.321477856329886,0
5,0.0,0.0,-0.0565128786565125,0.8792299598007497,0
6,0.0,0.0,0.10671364885763189,0.7959530402339494,0
7,0.0,0.0,0.07629263195888916,-2.2293612226633517,0
8,0.0,0.0,0.0496399645070808,-0.3630852473399271,0
9,0.0,0.0,-0.036299086854502886,1.0830033108943211,0
10,0.0,0.0,0.024095390689171374,2.148587219138026,0
11,0.0,0.0,-0.013255284638691588,-0.28167547955509653,0
12,0.0,0.0,0.016742374290317507,3.237371337972627,0
13,0.0,0.0,7.664454866407669e-06,0.023967926723828137,0
14,0.0,0.0,-0.1073166303943445,2.3785413555530397,0
15,0.0,0.0,0.08230704905907528,-1.4695566257674508,0
16,0.0,0.0,0.01013357060703833,-5.437765099705925,0
17,0.0,0.0,-0.014088023970134221,0.805076964055568,0
18,0.0,0.0,-0.01861963396978606,2.175972189439877,0
19,0.0,0.0,0.03650757458200609,1.7260419954227084,0
20,0.0,0.0,0.31137461970233166,1.26655998431232,0
21,0.175,0.35,0.22968946649155736,-0.8707608978649619,0
22,0.7,0.7,0.38942778819249657,-1.720238754336777,0
23,1.575,1.0499999999999998,0.3961461798774093,3.2301848071313417,0
24,2.8,1.4,0.353022090519342,4.079342248594825,0
25,4.374999999999999,1.75,0.29612582748859945,2.6923027274685203,0
26,6.299999999999999,2.1,0.3703361324533571,9.62827256757617,0
27,8.575,2.45,0.27712805790118467,5.926403456357198,0
28,11.2,2.8000000000000003,0.3033661641987404,9.449429863626879,0
29,14.175,3.1500000000000004,0.3199581238097503,19.084275637024994,0
30,17.500000000000004,3.5000000000000004,0.4156363442534934,20.105745813201743,0
31,21.175000000000004,3.8500000000000005,0.34324334297378495,20.100972082326937,0
